date,tv_impressions,tv_spend,search_impressions,search_spend,social_impressions,social_spend,video_impressions,video_spend,promo_index,distribution_index,seasonality_index,price,revenue
2023-01-01,16137425.981635036,203577.35067242978,11166869.466880757,101494.00714270466,8561763.621406168,60715.805567467905,8225377.339477569,85844.7899306353,0.5350678867686122,0.820306250765154,0.05439631996928229,9.567397536343428,1320315.4442526875
2023-01-08,15664946.509819655,174541.16850453298,10367575.671359027,86386.03919910656,8621824.500278367,67106.61374099003,8366324.940104122,83924.00709702048,0.2666156530694559,0.7638794265302943,0.0849827578294215,9.535653004879963,1276206.0937366574
2023-01-15,16743577.218021004,180952.4707009138,9316843.18217175,85622.71051755639,8759001.670872508,66546.69287525654,8746162.602122035,91306.29956771557,0.5496320348321686,0.7395539515925991,0.1216210816178489,9.407180549803586,1289913.731399358
2023-01-22,17905499.20421703,204336.64653007424,10658328.425348626,99178.86753067328,7532919.21839502,54797.23063469759,7355605.265519764,73199.8210742008,0.6250293442413387,0.8224036044344308,0.1637770220714091,9.775057946907339,1348458.667387909
2023-01-29,16153705.590376677,186397.7289683446,9494782.535415435,88110.58710299293,7452404.6797718005,52076.496501413545,8047223.179878954,80851.90875454905,0.20093965361428168,0.762439500160676,0.21083585065137844,9.794664801435946,1309399.4881233627
2023-02-05,16314252.033087922,200109.53972387267,10637931.300871963,101490.01726272596,6295237.608417023,49411.21253701895,10279687.469550727,90472.34757244783,0.5561084854771359,0.7590286473989438,0.26211134366980765,9.723952268462828,1328805.6293532583
2023-02-12,18446544.743400447,190281.17738604516,10744730.491029842,101182.70881983204,6310646.508066804,48971.12472779133,10526681.132691719,111054.34487370953,0.6841503488709938,0.800591815398702,0.3168557889761332,9.786212741046574,1377473.3394018472
2023-02-19,17666269.752539594,222077.11613477734,9151713.430659346,84466.56312501717,5824566.04282119,43453.18277378418,9111115.032153128,93005.2881382645,0.3185538471963192,0.7714685439271519,0.37427088928403396,9.854460297535223,1337608.7206785004
2023-02-26,16391780.432273308,186692.45342509283,10150828.227324791,91001.33400369075,6031325.575206014,49690.00939099866,9701631.77571707,102825.71371375148,0.7508858580256554,0.7624242021778125,0.4335194031434743,9.66554802276255,1334419.0937891477
2023-03-05,17563303.125275236,196729.7767997154,9487995.058807176,77512.36096422884,6650604.46554692,47032.849281424926,9441101.683641475,78004.71192002267,0.5628528514049068,0.8076818279966138,0.4937373538063496,9.78314096673538,1373106.112376997
